Run 1/1
Running simulation 'FL_A_Epidemic_50_RWP'
60.0 1506: 25.11 1/s
120.0 2162: 10.92 1/s
180.0 2686: 8.74 1/s
240.0 3050: 6.06 1/s
300.1 3349: 4.99 1/s
Unique content gateway: 232 :: total unique content cache: 1
received Time: 622.1000000000729	 sent Time 60.00000000000058
received Time: 370.50000000001575	 sent Time 60.00000000000058
received Time: 96.89999999999877	 sent Time 60.00000000000058
received Time: 62.900000000000624	 sent Time 60.00000000000058
received Time: 803.4000000001141	 sent Time 60.00000000000058
received Time: 1262.5999999999472	 sent Time 60.00000000000058
received Time: 1040.5000000001492	 sent Time 60.00000000000058
received Time: 940.2000000001452	 sent Time 60.00000000000058
received Time: 60.200000000000585	 sent Time 60.00000000000058
received Time: 1372.5999999998471	 sent Time 60.00000000000058
received Time: 172.79999999999447	 sent Time 60.00000000000058
received Time: 1818.5999999994415	 sent Time 60.00000000000058
received Time: 1372.799999999847	 sent Time 60.00000000000058
received Time: 1040.1000000001495	 sent Time 60.00000000000058
received Time: 131.29999999999683	 sent Time 60.00000000000058
received Time: 367.7000000000151	 sent Time 60.00000000000058
received Time: 802.0000000001138	 sent Time 60.00000000000058
received Time: 802.6000000001139	 sent Time 60.00000000000058
received Time: 725.3000000000964	 sent Time 60.00000000000058
received Time: 358.8000000000131	 sent Time 60.00000000000058
received Time: 70.70000000000026	 sent Time 60.00000000000058
received Time: 133.5999999999967	 sent Time 60.00000000000058
received Time: 1264.899999999945	 sent Time 60.00000000000058
received Time: 802.1000000001138	 sent Time 60.00000000000058
received Time: 73.80000000000008	 sent Time 60.00000000000058
received Time: 985.7000000001556	 sent Time 60.00000000000058
received Time: 70.30000000000028	 sent Time 60.00000000000058
received Time: 801.6000000001137	 sent Time 60.00000000000058
received Time: 71.00000000000024	 sent Time 60.00000000000058
received Time: 725.0000000000963	 sent Time 60.00000000000058
received Time: 133.6999999999967	 sent Time 60.00000000000058
received Time: 358.9000000000131	 sent Time 60.00000000000058
