Run 1/1
Running simulation 'FL_A_Epidemic_50_SPMBM'
60.0 3873: 64.54 1/s
120.0 5216: 22.38 1/s
180.0 6126: 15.18 1/s
240.0 6647: 8.68 1/s
300.0 7137: 8.17 1/s
360.0 7527: 6.49 1/s
420.1 7881: 5.90 1/s
480.1 8398: 8.62 1/s
540.1 8972: 9.57 1/s
600.1 9589: 10.27 1/s
660.1 10208: 10.32 1/s
720.1 10669: 7.69 1/s
780.1 10994: 5.42 1/s
840.1 11311: 5.28 1/s
900.1 11631: 5.33 1/s
960.1 11941: 5.16 1/s
1020.1 12197: 4.27 1/s
1080.2 12451: 4.24 1/s
1140.2 12610: 2.65 1/s
1200.2 12840: 3.82 1/s
1260.2 13036: 3.27 1/s
1320.2 13285: 4.15 1/s
1380.2 13561: 4.60 1/s
1440.3 13796: 3.93 1/s
1500.3 14133: 5.60 1/s
Unique content gateway: 216 :: total unique content cache: 1
received Time: 2362.8999999989464	 sent Time 60.00000000000058
received Time: 4842.200000000084	 sent Time 60.00000000000058
received Time: 868.800000000129	 sent Time 60.00000000000058
received Time: 2880.299999998476	 sent Time 60.00000000000058
received Time: 2206.4999999990887	 sent Time 60.00000000000058
received Time: 2880.4999999984757	 sent Time 60.00000000000058
received Time: 705.6000000000919	 sent Time 60.00000000000058
received Time: 2207.299999999088	 sent Time 60.00000000000058
received Time: 93.89999999999894	 sent Time 60.00000000000058
received Time: 2205.8999999990892	 sent Time 60.00000000000058
received Time: 2791.4999999985566	 sent Time 60.00000000000058
received Time: 2880.399999998476	 sent Time 60.00000000000058
received Time: 4842.300000000085	 sent Time 60.00000000000058
received Time: 3442.4999999979646	 sent Time 60.00000000000058
received Time: 705.7000000000919	 sent Time 60.00000000000058
received Time: 826.4000000001193	 sent Time 60.00000000000058
received Time: 3791.499999997647	 sent Time 60.00000000000058
received Time: 705.2000000000918	 sent Time 60.00000000000058
received Time: 2205.6999999990894	 sent Time 60.00000000000058
received Time: 2879.999999998476	 sent Time 60.00000000000058
received Time: 217.9999999999919	 sent Time 60.00000000000058
received Time: 2011.2999999992662	 sent Time 60.00000000000058
received Time: 411.7000000000251	 sent Time 60.00000000000058
received Time: 2791.199999998557	 sent Time 60.00000000000058
received Time: 826.3000000001193	 sent Time 60.00000000000058
received Time: 1090.6000000001036	 sent Time 60.00000000000058
received Time: 868.700000000129	 sent Time 60.00000000000058
received Time: 217.59999999999192	 sent Time 60.00000000000058
received Time: 706.000000000092	 sent Time 60.00000000000058
received Time: 2791.3999999985567	 sent Time 60.00000000000058
received Time: 705.3000000000918	 sent Time 60.00000000000058
received Time: 2206.8999999990883	 sent Time 60.00000000000058
received Time: 2207.499999999088	 sent Time 60.00000000000058
received Time: 868.600000000129	 sent Time 60.00000000000058
received Time: 4842.700000000086	 sent Time 2222.2999999990743
received Time: 6094.600000004641	 sent Time 2222.2999999990743
received Time: 2880.6999999984755	 sent Time 2222.2999999990743
received Time: 2236.5999999990613	 sent Time 2222.2999999990743
received Time: 6090.500000004626	 sent Time 2222.2999999990743
received Time: 5256.400000001591	 sent Time 2222.2999999990743
received Time: 2236.899999999061	 sent Time 2222.2999999990743
received Time: 6090.700000004626	 sent Time 2222.2999999990743
received Time: 6089.200000004621	 sent Time 2222.2999999990743
received Time: 2791.6999999985565	 sent Time 2222.2999999990743
received Time: 3601.7999999978197	 sent Time 2222.2999999990743
received Time: 4844.900000000094	 sent Time 2222.2999999990743
received Time: 3441.6999999979653	 sent Time 2222.2999999990743
received Time: 2880.5999999984756	 sent Time 2222.2999999990743
received Time: 6636.300000006611	 sent Time 2222.2999999990743
received Time: 3791.3999999976472	 sent Time 2222.2999999990743
received Time: 3442.199999997965	 sent Time 2222.2999999990743
received Time: 6089.00000000462	 sent Time 2222.2999999990743
received Time: 6092.300000004632	 sent Time 2222.2999999990743
received Time: 2222.499999999074	 sent Time 2222.2999999990743
received Time: 2791.7999999985564	 sent Time 2222.2999999990743
received Time: 5256.900000001593	 sent Time 2222.2999999990743
received Time: 5513.700000002527	 sent Time 2222.2999999990743
received Time: 4844.800000000094	 sent Time 2222.2999999990743
received Time: 8133.9000000120595	 sent Time 2222.2999999990743
received Time: 5259.800000001604	 sent Time 2222.2999999990743
received Time: 4860.20000000015	 sent Time 2222.2999999990743
received Time: 6088.8000000046195	 sent Time 2222.2999999990743
received Time: 2791.099999998557	 sent Time 2222.2999999990743
received Time: 4843.6000000000895	 sent Time 2222.2999999990743
received Time: 2362.5999999989467	 sent Time 2222.2999999990743
received Time: 2232.7999999990648	 sent Time 2222.2999999990743
received Time: 6094.3000000046395	 sent Time 2222.2999999990743
received Time: 6637.200000006615	 sent Time 3604.599999997817
received Time: 6412.400000005797	 sent Time 3604.599999997817
received Time: 6092.600000004633	 sent Time 3604.599999997817
received Time: 7702.800000010491	 sent Time 3604.599999997817
received Time: 6412.700000005798	 sent Time 3604.599999997817
received Time: 6094.40000000464	 sent Time 3604.599999997817
received Time: 6088.90000000462	 sent Time 3604.599999997817
received Time: 3627.0999999977967	 sent Time 3604.599999997817
received Time: 6089.400000004622	 sent Time 3604.599999997817
received Time: 6091.60000000463	 sent Time 3604.599999997817
received Time: 3604.9999999978168	 sent Time 3604.599999997817
received Time: 5513.500000002527	 sent Time 3604.599999997817
received Time: 3604.899999997817	 sent Time 3604.599999997817
received Time: 6089.300000004621	 sent Time 3604.599999997817
received Time: 3791.599999997647	 sent Time 3604.599999997817
received Time: 4018.5999999974406	 sent Time 3604.599999997817
