Run 1/1
Running simulation 'FL_A_Epidemic_100_RWP'
60.0 512: 8.52 1/s
120.0 690: 2.98 1/s
180.1 805: 1.90 1/s
240.1 919: 1.90 1/s
300.2 1007: 1.46 1/s
360.2 1107: 1.67 1/s
420.2 1183: 1.26 1/s
480.3 1247: 1.07 1/s
540.4 1308: 1.02 1/s
600.4 1352: 0.72 1/s
660.4 1399: 0.79 1/s
720.5 1446: 0.77 1/s
780.6 1491: 0.76 1/s
840.7 1534: 0.70 1/s
900.8 1569: 0.59 1/s
960.9 1603: 0.57 1/s
1020.9 1640: 0.61 1/s
1080.9 1683: 0.73 1/s
1141.0 1711: 0.46 1/s
1201.1 1741: 0.51 1/s
1261.1 1780: 0.65 1/s
1321.4 1811: 0.52 1/s
1381.5 1838: 0.44 1/s
1441.6 1863: 0.42 1/s
1501.7 1898: 0.58 1/s
1562.1 1922: 0.39 1/s
1622.3 1945: 0.39 1/s
1682.3 1969: 0.39 1/s
1742.4 1995: 0.43 1/s
1802.5 2030: 0.59 1/s
1862.6 2056: 0.44 1/s
1922.6 2079: 0.37 1/s
1982.7 2102: 0.38 1/s
2042.8 2122: 0.34 1/s
2103.1 2136: 0.24 1/s
2163.3 2154: 0.29 1/s
2223.3 2171: 0.29 1/s
2283.4 2191: 0.32 1/s
2343.4 2211: 0.33 1/s
2403.7 2232: 0.35 1/s
2463.9 2251: 0.32 1/s
2524.2 2272: 0.34 1/s
2584.3 2297: 0.42 1/s
2644.4 2321: 0.41 1/s
2704.6 2339: 0.28 1/s
2764.7 2353: 0.24 1/s
2825.1 2366: 0.22 1/s
2885.2 2378: 0.19 1/s
2945.2 2390: 0.20 1/s
3005.3 2404: 0.23 1/s
3065.3 2421: 0.28 1/s
3125.6 2436: 0.26 1/s
3185.7 2454: 0.30 1/s
3245.9 2471: 0.28 1/s
3306.2 2487: 0.27 1/s
3366.3 2503: 0.26 1/s
3426.3 2518: 0.26 1/s
3486.5 2534: 0.25 1/s
3546.5 2548: 0.25 1/s
