Run 1/1
Running simulation 'FL_A_Epidemic_100_SPMBM'
60.0 1416: 23.60 1/s
120.0 1903: 8.11 1/s
180.0 2341: 7.30 1/s
240.0 2640: 4.98 1/s
300.1 2821: 3.02 1/s
360.1 3043: 3.70 1/s
420.1 3246: 3.38 1/s
480.1 3427: 3.01 1/s
540.2 3558: 2.18 1/s
600.2 3675: 1.96 1/s
660.2 3813: 2.30 1/s
720.2 3952: 2.31 1/s
780.2 4081: 2.16 1/s
840.3 4200: 1.98 1/s
900.3 4305: 1.76 1/s
960.3 4403: 1.62 1/s
1020.4 4491: 1.47 1/s
1080.4 4565: 1.23 1/s
1140.4 4628: 1.05 1/s
1200.5 4709: 1.36 1/s
1260.5 4813: 1.74 1/s
1320.5 4911: 1.63 1/s
1380.5 5024: 1.88 1/s
1440.6 5115: 1.52 1/s
1500.6 5187: 1.21 1/s
1560.6 5259: 1.19 1/s
1620.6 5356: 1.61 1/s
1680.6 5457: 1.69 1/s
1740.7 5545: 1.46 1/s
1800.7 5618: 1.23 1/s
1860.7 5697: 1.31 1/s
1920.8 5779: 1.37 1/s
1980.8 5867: 1.47 1/s
2040.8 5958: 1.52 1/s
2100.9 6018: 1.00 1/s
2161.0 6070: 0.88 1/s
2221.0 6128: 0.97 1/s
2281.0 6198: 1.15 1/s
2341.0 6263: 1.09 1/s
2401.1 6331: 1.12 1/s
2461.1 6405: 1.24 1/s
2521.2 6474: 1.15 1/s
2581.2 6551: 1.27 1/s
2641.2 6633: 1.38 1/s
2701.4 6700: 1.11 1/s
2761.4 6753: 0.87 1/s
2821.5 6813: 1.01 1/s
2881.6 6858: 0.74 1/s
2941.7 6901: 0.72 1/s
3001.7 6950: 0.82 1/s
3061.7 7013: 1.05 1/s
3121.8 7074: 1.02 1/s
3181.9 7127: 0.88 1/s
3241.9 7175: 0.80 1/s
3302.0 7209: 0.56 1/s
3362.1 7245: 0.60 1/s
3422.2 7283: 0.64 1/s
3482.3 7327: 0.73 1/s
3542.4 7380: 0.88 1/s
3602.5 7427: 0.79 1/s
3662.5 7476: 0.81 1/s
3722.6 7519: 0.72 1/s
3782.7 7559: 0.66 1/s
3842.7 7606: 0.78 1/s
3902.8 7662: 0.93 1/s
3962.9 7720: 0.98 1/s
4022.9 7780: 0.99 1/s
4083.0 7840: 1.01 1/s
4143.0 7902: 1.03 1/s
4203.0 7962: 1.00 1/s
4263.1 8011: 0.81 1/s
4323.1 8059: 0.79 1/s
4383.1 8112: 0.89 1/s
4443.1 8171: 0.99 1/s
4503.2 8224: 0.87 1/s
4563.3 8278: 0.91 1/s
4623.3 8330: 0.86 1/s
4683.3 8375: 0.76 1/s
4743.4 8415: 0.67 1/s
4803.4 8456: 0.67 1/s
4863.4 8497: 0.69 1/s
4923.5 8536: 0.65 1/s
4983.6 8575: 0.65 1/s
5043.6 8615: 0.67 1/s
5103.7 8658: 0.71 1/s
5163.8 8706: 0.80 1/s
5223.9 8751: 0.75 1/s
5284.0 8795: 0.72 1/s
5344.1 8838: 0.71 1/s
5404.2 8882: 0.74 1/s
5464.2 8927: 0.75 1/s
5524.3 8973: 0.77 1/s
5584.5 9015: 0.70 1/s
5644.6 9056: 0.69 1/s
5704.7 9101: 0.74 1/s
5764.8 9144: 0.71 1/s
5824.8 9192: 0.81 1/s
5884.8 9244: 0.86 1/s
5944.9 9293: 0.82 1/s
6005.0 9334: 0.68 1/s
6065.1 9371: 0.62 1/s
6125.1 9411: 0.68 1/s
6185.1 9459: 0.79 1/s
6245.2 9504: 0.76 1/s
6305.3 9547: 0.72 1/s
6365.4 9589: 0.70 1/s
6425.6 9628: 0.65 1/s
6485.6 9666: 0.62 1/s
6545.6 9705: 0.65 1/s
6605.8 9743: 0.64 1/s
6665.8 9783: 0.67 1/s
6725.9 9827: 0.73 1/s
6785.9 9869: 0.69 1/s
6845.9 9911: 0.71 1/s
6905.9 9952: 0.68 1/s
6966.1 9993: 0.68 1/s
7026.1 10037: 0.73 1/s
7086.2 10077: 0.67 1/s
7146.2 10111: 0.55 1/s
7206.3 10145: 0.57 1/s
7266.5 10177: 0.54 1/s
7326.6 10208: 0.52 1/s
7386.6 10240: 0.53 1/s
7446.8 10275: 0.58 1/s
7506.9 10314: 0.64 1/s
7566.9 10357: 0.73 1/s
7627.0 10403: 0.76 1/s
7687.1 10447: 0.74 1/s
7747.1 10489: 0.69 1/s
7807.3 10531: 0.69 1/s
7867.3 10571: 0.68 1/s
7927.4 10614: 0.72 1/s
7987.6 10656: 0.70 1/s
8047.6 10703: 0.78 1/s
8107.7 10753: 0.82 1/s
8167.8 10797: 0.74 1/s
8227.9 10840: 0.72 1/s
8287.9 10882: 0.69 1/s
8348.0 10922: 0.67 1/s
8408.2 10962: 0.66 1/s
8468.3 11002: 0.67 1/s
8528.4 11041: 0.65 1/s
8588.4 11089: 0.79 1/s
8648.4 11133: 0.74 1/s
8708.6 11176: 0.72 1/s
8768.6 11220: 0.73 1/s
8828.6 11270: 0.84 1/s
8888.6 11321: 0.85 1/s
8948.7 11371: 0.82 1/s
9008.8 11419: 0.80 1/s
9068.9 11467: 0.81 1/s
9128.9 11515: 0.80 1/s
9189.0 11560: 0.74 1/s
9249.1 11605: 0.75 1/s
9309.1 11648: 0.72 1/s
9369.2 11699: 0.86 1/s
9429.2 11756: 0.95 1/s
9489.2 11807: 0.84 1/s
9549.3 11857: 0.84 1/s
9609.4 11907: 0.83 1/s
9669.5 11951: 0.74 1/s
9729.6 11994: 0.72 1/s
9789.6 12037: 0.71 1/s
9849.8 12080: 0.71 1/s
9909.9 12122: 0.70 1/s
9969.9 12172: 0.83 1/s
10030.0 12222: 0.85 1/s
10090.0 12275: 0.88 1/s
10150.0 12332: 0.94 1/s
10210.1 12387: 0.92 1/s
10270.2 12437: 0.82 1/s
10330.3 12483: 0.77 1/s
10390.3 12527: 0.74 1/s
10450.4 12574: 0.77 1/s
10510.5 12620: 0.78 1/s
10570.6 12667: 0.78 1/s
10630.7 12717: 0.83 1/s
10690.7 12767: 0.84 1/s
10750.8 12822: 0.91 1/s
10810.9 12868: 0.77 1/s
10870.9 12912: 0.74 1/s
10930.9 12960: 0.80 1/s
10991.0 13009: 0.81 1/s
11051.1 13061: 0.86 1/s
11111.1 13114: 0.89 1/s
11171.1 13167: 0.89 1/s
11231.2 13209: 0.70 1/s
11291.3 13245: 0.59 1/s
11351.4 13293: 0.80 1/s
11411.4 13351: 0.96 1/s
11471.4 13408: 0.95 1/s
11531.5 13460: 0.86 1/s
11591.6 13507: 0.78 1/s
11651.7 13556: 0.82 1/s
11711.7 13605: 0.80 1/s
11771.8 13650: 0.76 1/s
11831.9 13692: 0.71 1/s
11892.0 13733: 0.67 1/s
11952.1 13774: 0.69 1/s
12012.2 13817: 0.70 1/s
12072.3 13864: 0.79 1/s
12132.3 13913: 0.80 1/s
12192.3 13959: 0.77 1/s
12252.4 14009: 0.83 1/s
12312.4 14059: 0.84 1/s
12372.5 14104: 0.74 1/s
12432.6 14146: 0.69 1/s
12492.6 14185: 0.65 1/s
12552.7 14224: 0.66 1/s
12612.8 14265: 0.67 1/s
12673.0 14301: 0.61 1/s
12733.0 14337: 0.60 1/s
12793.1 14372: 0.59 1/s
Unique content gateway: 648 :: total unique content cache: 1
received Time: 1874.2999999993908	 sent Time 60.00000000000058
received Time: 555.0000000000576	 sent Time 60.00000000000058
received Time: 952.0000000001479	 sent Time 60.00000000000058
received Time: 555.3000000000577	 sent Time 60.00000000000058
received Time: 322.4000000000048	 sent Time 60.00000000000058
received Time: 60.30000000000059	 sent Time 60.00000000000058
received Time: 1260.499999999949	 sent Time 60.00000000000058
received Time: 1974.6999999992995	 sent Time 60.00000000000058
received Time: 1260.3999999999492	 sent Time 60.00000000000058
received Time: 2349.299999998959	 sent Time 60.00000000000058
received Time: 2572.099999998756	 sent Time 60.00000000000058
received Time: 951.2000000001477	 sent Time 60.00000000000058
received Time: 1875.5999999993896	 sent Time 60.00000000000058
received Time: 950.4000000001475	 sent Time 60.00000000000058
received Time: 951.0000000001477	 sent Time 60.00000000000058
received Time: 583.8000000000642	 sent Time 60.00000000000058
