Run 1/1
Running simulation 'FL_A_Epidemic_50_RWP'
60.0 1162: 19.37 1/s
120.0 1582: 7.00 1/s
180.0 1922: 5.66 1/s
240.0 2224: 5.03 1/s
300.1 2457: 3.89 1/s
360.1 2700: 4.05 1/s
420.1 2906: 3.45 1/s
480.1 3041: 2.24 1/s
540.1 3144: 1.72 1/s
600.2 3311: 2.79 1/s
660.2 3458: 2.45 1/s
720.2 3598: 2.33 1/s
780.2 3752: 2.57 1/s
840.2 3890: 2.29 1/s
900.3 3995: 1.75 1/s
960.3 4103: 1.80 1/s
1020.3 4220: 1.96 1/s
1080.3 4364: 2.39 1/s
1140.3 4484: 2.01 1/s
1200.4 4620: 2.27 1/s
1260.4 4750: 2.16 1/s
1320.4 4867: 1.96 1/s
1380.4 4992: 2.08 1/s
1440.5 5150: 2.62 1/s
1500.5 5320: 2.84 1/s
1560.5 5492: 2.86 1/s
1620.5 5619: 2.13 1/s
1680.5 5752: 2.21 1/s
1740.6 5925: 2.88 1/s
1800.6 6073: 2.48 1/s
1860.6 6212: 2.32 1/s
1920.6 6328: 1.92 1/s
1980.6 6482: 2.58 1/s
2040.7 6609: 2.10 1/s
2100.7 6761: 2.54 1/s
2160.7 6879: 1.97 1/s
2220.7 7027: 2.46 1/s
2280.8 7203: 2.93 1/s
2340.8 7419: 3.60 1/s
2400.8 7681: 4.37 1/s
2460.8 8027: 5.77 1/s
2520.8 8280: 4.21 1/s
2580.8 8590: 5.16 1/s
2640.8 8859: 4.48 1/s
2700.8 9147: 4.79 1/s
2760.8 9407: 4.34 1/s
2820.9 9706: 4.98 1/s
2880.9 10002: 4.93 1/s
2940.9 10271: 4.49 1/s
3000.9 10542: 4.52 1/s
3060.9 10835: 4.88 1/s
3120.9 11115: 4.66 1/s
3180.9 11465: 5.83 1/s
3240.9 11832: 6.12 1/s
3300.9 12199: 6.10 1/s
3360.9 12482: 4.72 1/s
3420.9 12730: 4.14 1/s
3481.0 13018: 4.80 1/s
3541.0 13292: 4.57 1/s
3601.0 13536: 4.07 1/s
3661.0 13756: 3.65 1/s
3721.0 14007: 4.19 1/s
3781.0 14283: 4.60 1/s
Unique content gateway: 275 :: total unique content cache: 1
received Time: 622.1000000000729	 sent Time 60.00000000000058
received Time: 370.50000000001575	 sent Time 60.00000000000058
received Time: 96.89999999999877	 sent Time 60.00000000000058
received Time: 62.900000000000624	 sent Time 60.00000000000058
received Time: 803.4000000001141	 sent Time 60.00000000000058
received Time: 1262.5999999999472	 sent Time 60.00000000000058
received Time: 1036.300000000153	 sent Time 60.00000000000058
received Time: 940.2000000001452	 sent Time 60.00000000000058
received Time: 60.200000000000585	 sent Time 60.00000000000058
received Time: 1369.7999999998497	 sent Time 60.00000000000058
received Time: 172.79999999999447	 sent Time 60.00000000000058
received Time: 1809.19999999945	 sent Time 60.00000000000058
received Time: 1369.5999999998498	 sent Time 60.00000000000058
received Time: 1036.200000000153	 sent Time 60.00000000000058
received Time: 131.29999999999683	 sent Time 60.00000000000058
received Time: 367.7000000000151	 sent Time 60.00000000000058
received Time: 802.0000000001138	 sent Time 60.00000000000058
received Time: 802.6000000001139	 sent Time 60.00000000000058
received Time: 725.3000000000964	 sent Time 60.00000000000058
received Time: 358.8000000000131	 sent Time 60.00000000000058
received Time: 70.70000000000026	 sent Time 60.00000000000058
received Time: 133.5999999999967	 sent Time 60.00000000000058
received Time: 1263.799999999946	 sent Time 60.00000000000058
received Time: 802.1000000001138	 sent Time 60.00000000000058
received Time: 73.80000000000008	 sent Time 60.00000000000058
received Time: 985.7000000001556	 sent Time 60.00000000000058
received Time: 70.30000000000028	 sent Time 60.00000000000058
received Time: 801.6000000001137	 sent Time 60.00000000000058
received Time: 71.00000000000024	 sent Time 60.00000000000058
received Time: 725.0000000000963	 sent Time 60.00000000000058
received Time: 133.6999999999967	 sent Time 60.00000000000058
received Time: 358.9000000000131	 sent Time 60.00000000000058
received Time: 1368.5999999998508	 sent Time 780.3000000001089
received Time: 1369.0999999998503	 sent Time 780.3000000001089
received Time: 992.9000000001572	 sent Time 780.3000000001089
received Time: 1263.899999999946	 sent Time 780.3000000001089
received Time: 829.10000000012	 sent Time 780.3000000001089
received Time: 1262.699999999947	 sent Time 780.3000000001089
received Time: 1079.8000000001134	 sent Time 780.3000000001089
received Time: 985.6000000001555	 sent Time 780.3000000001089
received Time: 1268.199999999942	 sent Time 780.3000000001089
received Time: 1368.7999999998506	 sent Time 780.3000000001089
