Run 1/1
Running simulation 'FL_B_CCN_NoCache_100_RWP'
60.0 1933: 32.21 1/s
120.0 2552: 10.33 1/s
180.0 3046: 8.23 1/s
240.0 3441: 6.58 1/s
300.1 3728: 4.79 1/s
360.1 3995: 4.44 1/s
420.1 4261: 4.43 1/s
480.1 4530: 4.48 1/s
540.1 4760: 3.84 1/s
600.1 4946: 3.10 1/s
660.1 5165: 3.64 1/s
720.2 5391: 3.76 1/s
780.2 5571: 3.01 1/s
840.2 5765: 3.23 1/s
900.2 5953: 3.13 1/s
960.2 6154: 3.35 1/s
1020.2 6337: 3.04 1/s
1080.3 6492: 2.59 1/s
1140.3 6659: 2.77 1/s
1200.3 6847: 3.14 1/s
1260.3 7030: 3.06 1/s
1320.3 7221: 3.18 1/s
1380.4 7414: 3.22 1/s
1440.4 7598: 3.06 1/s
1500.4 7759: 2.68 1/s
1560.5 7910: 2.51 1/s
1620.5 8074: 2.74 1/s
1680.5 8241: 2.78 1/s
1740.5 8403: 2.71 1/s
1800.5 8552: 2.48 1/s
1860.5 8708: 2.60 1/s
1920.6 8870: 2.70 1/s
1980.6 9041: 2.85 1/s
2040.6 9214: 2.89 1/s
2100.6 9335: 2.01 1/s
2160.7 9476: 2.35 1/s
2220.7 9610: 2.23 1/s
2280.7 9746: 2.27 1/s
2340.7 9889: 2.38 1/s
2400.7 10026: 2.28 1/s
2460.7 10159: 2.21 1/s
2520.8 10304: 2.42 1/s
2580.8 10455: 2.52 1/s
2640.8 10638: 3.05 1/s
2700.8 10789: 2.52 1/s
2760.8 10915: 2.09 1/s
2820.9 11042: 2.12 1/s
2880.9 11161: 1.99 1/s
2940.9 11276: 1.91 1/s
3000.9 11392: 1.93 1/s
3061.0 11536: 2.40 1/s
3121.0 11692: 2.60 1/s
3181.0 11840: 2.46 1/s
3241.0 12001: 2.69 1/s
3301.1 12152: 2.51 1/s
3361.1 12313: 2.69 1/s
3421.1 12479: 2.77 1/s
3481.2 12642: 2.72 1/s
3541.2 12797: 2.57 1/s
3601.2 12940: 2.38 1/s
3661.3 13077: 2.29 1/s
3721.3 13216: 2.32 1/s
3781.3 13366: 2.49 1/s
3841.3 13513: 2.45 1/s
3901.4 13662: 2.48 1/s
3961.4 13801: 2.32 1/s
4021.4 13948: 2.45 1/s
4081.4 14084: 2.26 1/s
4141.5 14215: 2.18 1/s
4201.5 14351: 2.27 1/s
Unique content gateway: 643 :: total unique content cache: 1
received Time: 626.1000000000738	 sent Time 60.00000000000058
received Time: 816.300000000117	 sent Time 60.00000000000058
received Time: 1204.9999999999995	 sent Time 60.00000000000058
received Time: 80.4999999999997	 sent Time 60.00000000000058
received Time: 80.19999999999972	 sent Time 60.00000000000058
received Time: 626.800000000074	 sent Time 60.00000000000058
received Time: 816.4000000001171	 sent Time 60.00000000000058
received Time: 636.6000000000762	 sent Time 60.00000000000058
received Time: 2888.3999999984685	 sent Time 60.00000000000058
received Time: 1294.0999999999185	 sent Time 60.00000000000058
received Time: 433.00000000002996	 sent Time 60.00000000000058
received Time: 765.3000000001055	 sent Time 60.00000000000058
received Time: 636.8000000000762	 sent Time 60.00000000000058
received Time: 738.1000000000993	 sent Time 60.00000000000058
received Time: 88.69999999999924	 sent Time 60.00000000000058
received Time: 1205.2999999999993	 sent Time 60.00000000000058
received Time: 1047.8000000001425	 sent Time 60.00000000000058
received Time: 1294.1999999999184	 sent Time 60.00000000000058
received Time: 751.5000000001023	 sent Time 60.00000000000058
received Time: 682.2000000000866	 sent Time 60.00000000000058
received Time: 427.20000000002864	 sent Time 60.00000000000058
received Time: 115.7999999999977	 sent Time 60.00000000000058
received Time: 1373.9999999998458	 sent Time 60.00000000000058
received Time: 738.2000000000993	 sent Time 60.00000000000058
received Time: 60.200000000000585	 sent Time 60.00000000000058
received Time: 2200.599999999094	 sent Time 60.00000000000058
received Time: 1803.4999999994552	 sent Time 60.00000000000058
received Time: 1373.2999999998465	 sent Time 60.00000000000058
received Time: 2388.2999999989233	 sent Time 60.00000000000058
received Time: 2556.2999999987705	 sent Time 60.00000000000058
received Time: 80.09999999999972	 sent Time 60.00000000000058
received Time: 682.0000000000865	 sent Time 60.00000000000058
received Time: 88.99999999999922	 sent Time 60.00000000000058
received Time: 738.0000000000992	 sent Time 60.00000000000058
received Time: 1294.599999999918	 sent Time 60.00000000000058
received Time: 830.2000000001202	 sent Time 60.00000000000058
received Time: 1204.8999999999996	 sent Time 60.00000000000058
received Time: 101.6999999999985	 sent Time 60.00000000000058
received Time: 636.9000000000763	 sent Time 60.00000000000058
received Time: 1374.3999999998455	 sent Time 60.00000000000058
received Time: 682.1000000000865	 sent Time 60.00000000000058
received Time: 1374.1999999998457	 sent Time 60.00000000000058
received Time: 2248.79999999905	 sent Time 60.00000000000058
received Time: 1373.5999999998462	 sent Time 60.00000000000058
received Time: 751.4000000001023	 sent Time 60.00000000000058
received Time: 74.40000000000005	 sent Time 60.00000000000058
received Time: 1205.0999999999995	 sent Time 60.00000000000058
received Time: 1048.1000000001422	 sent Time 60.00000000000058
received Time: 80.29999999999971	 sent Time 60.00000000000058
received Time: 1047.7000000001426	 sent Time 60.00000000000058
received Time: 1897.6999999993695	 sent Time 60.00000000000058
received Time: 681.9000000000865	 sent Time 60.00000000000058
received Time: 626.900000000074	 sent Time 60.00000000000058
received Time: 1373.3999999998464	 sent Time 60.00000000000058
received Time: 1294.4999999999181	 sent Time 60.00000000000058
received Time: 816.5000000001171	 sent Time 60.00000000000058
received Time: 682.3000000000866	 sent Time 60.00000000000058
received Time: 737.8000000000992	 sent Time 60.00000000000058
received Time: 76.49999999999993	 sent Time 60.00000000000058
received Time: 636.7000000000762	 sent Time 60.00000000000058
received Time: 636.5000000000762	 sent Time 60.00000000000058
