Run 1/1
Running simulation 'FL_B_CCN_NoCache_100_SPMBM'
60.0 2814: 46.89 1/s
120.0 3940: 18.77 1/s
180.0 4829: 14.82 1/s
240.0 5441: 10.20 1/s
300.0 5982: 9.01 1/s
360.0 6568: 9.76 1/s
420.0 7091: 8.72 1/s
480.0 7577: 8.10 1/s
540.1 7966: 6.49 1/s
600.1 8316: 5.83 1/s
660.1 8687: 6.19 1/s
720.1 9058: 6.19 1/s
780.1 9372: 5.22 1/s
840.1 9650: 4.64 1/s
900.1 9915: 4.41 1/s
960.2 10195: 4.68 1/s
1020.2 10447: 4.19 1/s
1080.2 10666: 3.65 1/s
1140.2 10892: 3.76 1/s
1200.2 11136: 4.07 1/s
1260.2 11367: 3.85 1/s
1320.2 11631: 4.40 1/s
1380.2 11882: 4.18 1/s
1440.3 12115: 3.88 1/s
1500.3 12299: 3.08 1/s
1560.3 12494: 3.24 1/s
1620.3 12735: 4.01 1/s
1680.3 12991: 4.27 1/s
1740.3 13235: 4.07 1/s
1800.3 13461: 3.75 1/s
1860.3 13702: 4.03 1/s
1920.4 13918: 3.58 1/s
1980.4 14148: 3.85 1/s
2040.4 14360: 3.52 1/s
Unique content gateway: 778 :: total unique content cache: 1
received Time: 1413.1999999998102	 sent Time 60.00000000000058
received Time: 1600.0999999996402	 sent Time 60.00000000000058
received Time: 968.1000000001516	 sent Time 60.00000000000058
received Time: 2432.799999998883	 sent Time 60.00000000000058
received Time: 967.9000000001515	 sent Time 60.00000000000058
received Time: 3068.9999999983042	 sent Time 60.00000000000058
received Time: 4289.699999998074	 sent Time 60.00000000000058
received Time: 3090.099999998285	 sent Time 60.00000000000058
received Time: 3988.8999999974676	 sent Time 60.00000000000058
received Time: 1599.9999999996403	 sent Time 60.00000000000058
received Time: 957.4000000001491	 sent Time 60.00000000000058
received Time: 3069.199999998304	 sent Time 60.00000000000058
received Time: 965.800000000151	 sent Time 60.00000000000058
received Time: 423.2000000000277	 sent Time 60.00000000000058
received Time: 3236.199999998152	 sent Time 60.00000000000058
received Time: 1600.19999999964	 sent Time 60.00000000000058
received Time: 3089.8999999982852	 sent Time 60.00000000000058
received Time: 1452.7999999997742	 sent Time 60.00000000000058
received Time: 2485.9999999988345	 sent Time 60.00000000000058
received Time: 3620.199999997803	 sent Time 60.00000000000058
received Time: 1413.0999999998103	 sent Time 60.00000000000058
received Time: 1565.5999999996716	 sent Time 60.00000000000058
received Time: 1048.1000000001422	 sent Time 60.00000000000058
received Time: 1689.1999999995592	 sent Time 60.00000000000058
received Time: 2485.6999999988348	 sent Time 60.00000000000058
received Time: 1599.8999999996404	 sent Time 60.00000000000058
received Time: 1412.4999999998108	 sent Time 60.00000000000058
received Time: 3620.299999997803	 sent Time 60.00000000000058
received Time: 3089.999999998285	 sent Time 60.00000000000058
received Time: 1452.899999999774	 sent Time 60.00000000000058
received Time: 60.60000000000059	 sent Time 60.00000000000058
received Time: 6355.200000005589	 sent Time 60.00000000000058
received Time: 1048.2000000001422	 sent Time 60.00000000000058
received Time: 125.89999999999712	 sent Time 60.00000000000058
received Time: 2432.899999998883	 sent Time 60.00000000000058
received Time: 103.3999999999984	 sent Time 60.00000000000058
received Time: 2485.8999999988346	 sent Time 60.00000000000058
received Time: 194.29999999999325	 sent Time 60.00000000000058
received Time: 3615.599999997807	 sent Time 60.00000000000058
received Time: 1412.7999999998106	 sent Time 60.00000000000058
received Time: 3673.4999999977545	 sent Time 60.00000000000058
received Time: 2005.6999999992713	 sent Time 60.00000000000058
received Time: 1805.3999999994535	 sent Time 60.00000000000058
received Time: 2432.499999998883	 sent Time 60.00000000000058
received Time: 3615.499999997807	 sent Time 60.00000000000058
received Time: 108.7999999999981	 sent Time 60.00000000000058
received Time: 201.09999999999286	 sent Time 60.00000000000058
received Time: 968.2000000001516	 sent Time 60.00000000000058
received Time: 1412.5999999998107	 sent Time 60.00000000000058
received Time: 1488.4999999997417	 sent Time 60.00000000000058
received Time: 4575.199999999113	 sent Time 60.00000000000058
received Time: 3619.999999997803	 sent Time 60.00000000000058
received Time: 103.2999999999984	 sent Time 60.00000000000058
received Time: 3598.6999999978225	 sent Time 60.00000000000058
received Time: 2005.5999999992714	 sent Time 60.00000000000058
received Time: 957.2000000001491	 sent Time 60.00000000000058
received Time: 1412.8999999998105	 sent Time 60.00000000000058
received Time: 3989.2999999974672	 sent Time 60.00000000000058
received Time: 1565.8999999996713	 sent Time 60.00000000000058
received Time: 60.30000000000059	 sent Time 60.00000000000058
received Time: 5018.900000000727	 sent Time 60.00000000000058
received Time: 1648.0999999995965	 sent Time 60.00000000000058
received Time: 1687.299999999561	 sent Time 60.00000000000058
received Time: 957.3000000001491	 sent Time 60.00000000000058
received Time: 125.79999999999713	 sent Time 60.00000000000058
received Time: 1412.6999999998106	 sent Time 60.00000000000058
received Time: 1565.6999999996715	 sent Time 60.00000000000058
received Time: 968.0000000001515	 sent Time 60.00000000000058
received Time: 2432.699999998883	 sent Time 60.00000000000058
received Time: 5073.000000000924	 sent Time 60.00000000000058
received Time: 967.7000000001515	 sent Time 60.00000000000058
received Time: 3517.899999997896	 sent Time 60.00000000000058
received Time: 4575.099999999113	 sent Time 60.00000000000058
received Time: 7590.900000010084	 sent Time 60.00000000000058
received Time: 2432.599999998883	 sent Time 60.00000000000058
received Time: 222.69999999999163	 sent Time 60.00000000000058
received Time: 3303.599999998091	 sent Time 60.00000000000058
received Time: 2432.0999999988835	 sent Time 60.00000000000058
received Time: 1687.3999999995608	 sent Time 60.00000000000058
received Time: 965.600000000151	 sent Time 60.00000000000058
received Time: 1565.7999999996714	 sent Time 60.00000000000058
received Time: 90.49999999999913	 sent Time 60.00000000000058
received Time: 3090.199999998285	 sent Time 60.00000000000058
received Time: 418.7000000000267	 sent Time 60.00000000000058
received Time: 3673.799999997754	 sent Time 60.00000000000058
received Time: 5073.200000000925	 sent Time 60.00000000000058
received Time: 8753.400000014313	 sent Time 60.00000000000058
received Time: 3089.5999999982855	 sent Time 60.00000000000058
received Time: 3089.7999999982853	 sent Time 60.00000000000058
received Time: 2432.1999999988834	 sent Time 60.00000000000058
received Time: 3555.6999999978616	 sent Time 60.00000000000058
received Time: 1412.9999999998104	 sent Time 60.00000000000058
received Time: 967.8000000001515	 sent Time 60.00000000000058
received Time: 965.700000000151	 sent Time 60.00000000000058
received Time: 2431.9999999988836	 sent Time 60.00000000000058
received Time: 3069.099999998304	 sent Time 60.00000000000058
received Time: 3089.4999999982856	 sent Time 60.00000000000058
received Time: 2485.7999999988347	 sent Time 60.00000000000058
received Time: 10845.100000021923	 sent Time 1741.4999999995116
received Time: 1741.7999999995113	 sent Time 1741.4999999995116
received Time: 3518.099999997896	 sent Time 1741.4999999995116
received Time: 6680.200000006771	 sent Time 1741.4999999995116
received Time: 2432.3999999988832	 sent Time 1741.4999999995116
received Time: 3350.1999999980485	 sent Time 1741.4999999995116
received Time: 8185.400000012247	 sent Time 1741.4999999995116
received Time: 6528.70000000622	 sent Time 1741.4999999995116
received Time: 4493.699999998817	 sent Time 1741.4999999995116
received Time: 3069.5999999983037	 sent Time 1741.4999999995116
received Time: 3069.6999999983036	 sent Time 1741.4999999995116
received Time: 3517.999999997896	 sent Time 1741.4999999995116
