Run 1/1
Running simulation 'FL_B_CCN_NoCache_50_SPMBM'
60.0 8430: 140.50 1/s
120.0 13151: 78.69 1/s
Unique content gateway: 188 :: total unique content cache: 1
received Time: 6658.600000006692	 sent Time 60.00000000000058
received Time: 5513.600000002527	 sent Time 60.00000000000058
received Time: 868.700000000129	 sent Time 60.00000000000058
received Time: 5256.500000001592	 sent Time 60.00000000000058
received Time: 2249.4999999990496	 sent Time 60.00000000000058
received Time: 5256.2000000015905	 sent Time 60.00000000000058
received Time: 6089.600000004622	 sent Time 60.00000000000058
received Time: 2203.099999999092	 sent Time 60.00000000000058
received Time: 93.89999999999894	 sent Time 60.00000000000058
received Time: 2249.3999999990497	 sent Time 60.00000000000058
received Time: 3278.6999999981135	 sent Time 60.00000000000058
received Time: 3601.8999999978196	 sent Time 60.00000000000058
received Time: 4860.30000000015	 sent Time 60.00000000000058
received Time: 3437.799999997969	 sent Time 60.00000000000058
received Time: 710.700000000093	 sent Time 60.00000000000058
received Time: 835.5000000001214	 sent Time 60.00000000000058
received Time: 4146.599999997554	 sent Time 60.00000000000058
received Time: 714.3000000000939	 sent Time 60.00000000000058
received Time: 5256.300000001591	 sent Time 60.00000000000058
received Time: 3601.7999999978197	 sent Time 60.00000000000058
received Time: 214.79999999999208	 sent Time 60.00000000000058
received Time: 2010.5999999992669	 sent Time 60.00000000000058
received Time: 408.2000000000243	 sent Time 60.00000000000058
received Time: 3278.5999999981136	 sent Time 60.00000000000058
received Time: 716.5000000000944	 sent Time 60.00000000000058
received Time: 1084.8000000001089	 sent Time 60.00000000000058
received Time: 882.9000000001322	 sent Time 60.00000000000058
received Time: 214.3999999999921	 sent Time 60.00000000000058
received Time: 717.3000000000945	 sent Time 60.00000000000058
received Time: 2792.9999999985553	 sent Time 60.00000000000058
received Time: 714.2000000000938	 sent Time 60.00000000000058
received Time: 2455.9999999988618	 sent Time 60.00000000000058
received Time: 2249.19999999905	 sent Time 60.00000000000058
received Time: 868.600000000129	 sent Time 60.00000000000058
received Time: 2456.0999999988617	 sent Time 2282.3999999990197
received Time: 4860.20000000015	 sent Time 2282.3999999990197
received Time: 6658.9000000066935	 sent Time 2282.3999999990197
received Time: 3166.6999999982154	 sent Time 2282.3999999990197
received Time: 2456.1999999988616	 sent Time 2282.3999999990197
received Time: 6088.8000000046195	 sent Time 2282.3999999990197
received Time: 7702.800000010491	 sent Time 2282.3999999990197
received Time: 3495.5999999979163	 sent Time 2282.3999999990197
received Time: 6089.400000004622	 sent Time 2282.3999999990197
received Time: 6089.500000004622	 sent Time 2282.3999999990197
received Time: 2880.199999998476	 sent Time 2282.3999999990197
received Time: 3602.0999999978194	 sent Time 2282.3999999990197
received Time: 5513.900000002528	 sent Time 2282.3999999990197
received Time: 3437.699999997969	 sent Time 2282.3999999990197
received Time: 2879.999999998476	 sent Time 2282.3999999990197
received Time: 8134.00000001206	 sent Time 2282.3999999990197
received Time: 5513.500000002527	 sent Time 2282.3999999990197
received Time: 3437.599999997969	 sent Time 2282.3999999990197
received Time: 7703.000000010492	 sent Time 2282.3999999990197
received Time: 6089.00000000462	 sent Time 2282.3999999990197
received Time: 2282.6999999990194	 sent Time 2282.3999999990197
received Time: 2880.299999998476	 sent Time 2282.3999999990197
received Time: 5256.700000001592	 sent Time 2282.3999999990197
received Time: 5513.700000002527	 sent Time 2282.3999999990197
received Time: 4842.300000000085	 sent Time 2282.3999999990197
received Time: 8707.600000014147	 sent Time 2282.3999999990197
received Time: 5256.10000000159	 sent Time 2282.3999999990197
received Time: 4860.1000000001495	 sent Time 2282.3999999990197
received Time: 6410.4000000057895	 sent Time 2282.3999999990197
received Time: 2880.099999998476	 sent Time 2282.3999999990197
received Time: 4860.400000000151	 sent Time 2282.3999999990197
received Time: 2468.3999999988505	 sent Time 2282.3999999990197
received Time: 2282.899999999019	 sent Time 2282.3999999990197
received Time: 6089.300000004621	 sent Time 2282.3999999990197
received Time: 8708.200000014149	 sent Time 3604.599999997817
received Time: 6410.200000005789	 sent Time 3604.599999997817
received Time: 7703.100000010492	 sent Time 3604.599999997817
received Time: 7703.600000010494	 sent Time 3604.599999997817
received Time: 6410.100000005788	 sent Time 3604.599999997817
received Time: 6089.100000004621	 sent Time 3604.599999997817
received Time: 6088.90000000462	 sent Time 3604.599999997817
received Time: 3622.499999997801	 sent Time 3604.599999997817
received Time: 7702.900000010492	 sent Time 3604.599999997817
received Time: 6153.000000004853	 sent Time 3604.599999997817
received Time: 6410.700000005791	 sent Time 3604.599999997817
received Time: 3604.9999999978168	 sent Time 3604.599999997817
received Time: 7703.500000010494	 sent Time 3604.599999997817
received Time: 3604.899999997817	 sent Time 3604.599999997817
received Time: 6659.000000006694	 sent Time 3604.599999997817
received Time: 8707.500000014146	 sent Time 3604.599999997817
received Time: 3793.2999999976455	 sent Time 3604.599999997817
received Time: 4021.6999999974378	 sent Time 3604.599999997817
received Time: 11947.500000025933	 sent Time 3604.599999997817
received Time: 6410.60000000579	 sent Time 3604.599999997817
received Time: 11132.500000022968	 sent Time 3604.599999997817
received Time: 6410.300000005789	 sent Time 3604.599999997817
received Time: 5256.400000001591	 sent Time 3604.599999997817
received Time: 8708.30000001415	 sent Time 3604.599999997817
received Time: 10101.900000019219	 sent Time 3604.599999997817
received Time: 10638.10000002117	 sent Time 3604.599999997817
received Time: 6636.500000006612	 sent Time 3604.599999997817
received Time: 4860.600000000151	 sent Time 3604.599999997817
received Time: 6636.400000006612	 sent Time 3604.599999997817
received Time: 6636.300000006611	 sent Time 3604.599999997817
received Time: 11128.500000022954	 sent Time 3604.599999997817
received Time: 5514.000000002528	 sent Time 3604.599999997817
received Time: 5513.800000002528	 sent Time 3604.599999997817
received Time: 10102.30000001922	 sent Time 3604.599999997817
received Time: 8708.100000014148	 sent Time 6125.400000004753
received Time: 7703.200000010493	 sent Time 6125.400000004753
received Time: 10101.800000019219	 sent Time 6125.400000004753
received Time: 8133.9000000120595	 sent Time 6125.400000004753
received Time: 6125.600000004753	 sent Time 6125.400000004753
received Time: 11129.100000022956	 sent Time 6125.400000004753
received Time: 8707.900000014148	 sent Time 6125.400000004753
received Time: 10179.900000019503	 sent Time 6125.400000004753
