Run 1/1
Running simulation 'FL_C_CCN_Cache_100_RWP'
60.0 1761: 29.34 1/s
120.0 2381: 10.35 1/s
180.0 2805: 7.07 1/s
240.0 3155: 5.82 1/s
300.0 3465: 5.17 1/s
360.0 3725: 4.34 1/s
420.1 3949: 3.73 1/s
480.1 4155: 3.43 1/s
540.1 4371: 3.60 1/s
600.1 4593: 3.71 1/s
660.1 4822: 3.80 1/s
720.1 5027: 3.43 1/s
780.1 5269: 4.03 1/s
840.1 5491: 3.69 1/s
900.2 5701: 3.50 1/s
960.2 5925: 3.74 1/s
1020.2 6158: 3.88 1/s
1080.2 6366: 3.47 1/s
1140.2 6567: 3.34 1/s
1200.3 6784: 3.63 1/s
1260.3 7001: 3.62 1/s
1320.3 7215: 3.57 1/s
1380.3 7429: 3.55 1/s
1440.3 7637: 3.47 1/s
1500.3 7839: 3.37 1/s
1560.3 8026: 3.11 1/s
1620.4 8212: 3.10 1/s
1680.4 8389: 2.96 1/s
1740.4 8557: 2.80 1/s
1800.4 8740: 3.05 1/s
1860.5 8934: 3.23 1/s
1920.5 9129: 3.25 1/s
1980.5 9341: 3.53 1/s
2040.5 9544: 3.39 1/s
2100.5 9735: 3.18 1/s
2160.5 9941: 3.43 1/s
2220.5 10129: 3.12 1/s
2280.6 10324: 3.26 1/s
2340.6 10530: 3.43 1/s
2400.6 10747: 3.62 1/s
2460.6 10967: 3.66 1/s
2520.6 11185: 3.64 1/s
2580.6 11392: 3.44 1/s
2640.6 11605: 3.55 1/s
2700.6 11820: 3.58 1/s
2760.7 12050: 3.83 1/s
2820.7 12275: 3.75 1/s
2880.7 12513: 3.96 1/s
2940.7 12738: 3.76 1/s
3000.7 12945: 3.45 1/s
3060.8 13146: 3.34 1/s
3120.8 13357: 3.52 1/s
3180.8 13569: 3.53 1/s
3240.8 13777: 3.47 1/s
3300.8 13980: 3.38 1/s
3360.9 14168: 3.13 1/s
3420.9 14364: 3.27 1/s
Unique content gateway: 619 :: total unique content cache: 1
received Time: 626.1000000000738	 sent Time 60.00000000000058
received Time: 816.4000000001171	 sent Time 60.00000000000058
received Time: 1205.0999999999995	 sent Time 60.00000000000058
received Time: 80.4999999999997	 sent Time 60.00000000000058
received Time: 80.19999999999972	 sent Time 60.00000000000058
received Time: 626.800000000074	 sent Time 60.00000000000058
received Time: 816.5000000001171	 sent Time 60.00000000000058
received Time: 636.6000000000762	 sent Time 60.00000000000058
received Time: 2887.899999998469	 sent Time 60.00000000000058
received Time: 1294.599999999918	 sent Time 60.00000000000058
received Time: 433.00000000002996	 sent Time 60.00000000000058
received Time: 765.3000000001055	 sent Time 60.00000000000058
received Time: 636.7000000000762	 sent Time 60.00000000000058
received Time: 738.2000000000993	 sent Time 60.00000000000058
received Time: 88.69999999999924	 sent Time 60.00000000000058
received Time: 1205.1999999999994	 sent Time 60.00000000000058
received Time: 1048.0000000001423	 sent Time 60.00000000000058
received Time: 1294.4999999999181	 sent Time 60.00000000000058
received Time: 751.6000000001023	 sent Time 60.00000000000058
received Time: 682.2000000000866	 sent Time 60.00000000000058
received Time: 427.20000000002864	 sent Time 60.00000000000058
received Time: 115.7999999999977	 sent Time 60.00000000000058
received Time: 1374.0999999998457	 sent Time 60.00000000000058
received Time: 738.0000000000992	 sent Time 60.00000000000058
received Time: 60.200000000000585	 sent Time 60.00000000000058
received Time: 682.4000000000866	 sent Time 60.00000000000058
received Time: 1804.4999999994543	 sent Time 60.00000000000058
received Time: 1373.799999999846	 sent Time 60.00000000000058
received Time: 682.7000000000867	 sent Time 60.00000000000058
received Time: 80.09999999999972	 sent Time 60.00000000000058
received Time: 682.6000000000867	 sent Time 60.00000000000058
received Time: 88.99999999999922	 sent Time 60.00000000000058
received Time: 737.9000000000992	 sent Time 60.00000000000058
received Time: 1295.0999999999176	 sent Time 60.00000000000058
received Time: 830.2000000001202	 sent Time 60.00000000000058
received Time: 738.3000000000993	 sent Time 60.00000000000058
received Time: 101.6999999999985	 sent Time 60.00000000000058
received Time: 636.5000000000762	 sent Time 60.00000000000058
received Time: 1374.999999999845	 sent Time 60.00000000000058
received Time: 682.1000000000865	 sent Time 60.00000000000058
received Time: 1374.799999999845	 sent Time 60.00000000000058
received Time: 1804.6999999994541	 sent Time 60.00000000000058
received Time: 2249.4999999990496	 sent Time 60.00000000000058
received Time: 1373.3999999998464	 sent Time 60.00000000000058
received Time: 751.4000000001023	 sent Time 60.00000000000058
received Time: 74.40000000000005	 sent Time 60.00000000000058
received Time: 1204.9999999999995	 sent Time 60.00000000000058
received Time: 1048.2000000001422	 sent Time 60.00000000000058
received Time: 80.29999999999971	 sent Time 60.00000000000058
received Time: 637.0000000000763	 sent Time 60.00000000000058
received Time: 1804.3999999994544	 sent Time 60.00000000000058
received Time: 682.0000000000865	 sent Time 60.00000000000058
received Time: 626.900000000074	 sent Time 60.00000000000058
received Time: 1373.9999999998458	 sent Time 60.00000000000058
received Time: 1295.2999999999174	 sent Time 60.00000000000058
received Time: 816.300000000117	 sent Time 60.00000000000058
received Time: 681.9000000000865	 sent Time 60.00000000000058
received Time: 737.8000000000992	 sent Time 60.00000000000058
received Time: 76.49999999999993	 sent Time 60.00000000000058
received Time: 637.1000000000763	 sent Time 60.00000000000058
received Time: 636.8000000000762	 sent Time 60.00000000000058
received Time: 751.5000000001023	 sent Time 60.00000000000058
received Time: 1374.6999999998452	 sent Time 60.00000000000058
received Time: 1769.9999999994857	 sent Time 60.00000000000058
received Time: 74.50000000000004	 sent Time 60.00000000000058
received Time: 1373.4999999998463	 sent Time 60.00000000000058
received Time: 94.6999999999989	 sent Time 60.00000000000058
received Time: 738.1000000000993	 sent Time 60.00000000000058
received Time: 1403.6999999998188	 sent Time 780.3000000001089
received Time: 1844.0999999994183	 sent Time 780.3000000001089
received Time: 1294.699999999918	 sent Time 780.3000000001089
received Time: 2803.5999999985456	 sent Time 780.3000000001089
received Time: 1373.2999999998465	 sent Time 780.3000000001089
received Time: 781.2000000001091	 sent Time 780.3000000001089
received Time: 790.1000000001111	 sent Time 780.3000000001089
received Time: 1887.399999999379	 sent Time 780.3000000001089
received Time: 2888.6999999984682	 sent Time 780.3000000001089
received Time: 1294.1999999999184	 sent Time 780.3000000001089
received Time: 798.300000000113	 sent Time 780.3000000001089
received Time: 1842.5999999994197	 sent Time 780.3000000001089
received Time: 880.6000000001317	 sent Time 780.3000000001089
received Time: 1078.7000000001144	 sent Time 780.3000000001089
received Time: 782.2000000001093	 sent Time 780.3000000001089
received Time: 1472.3999999997563	 sent Time 780.3000000001089
received Time: 2671.9999999986653	 sent Time 780.3000000001089
received Time: 1293.9999999999186	 sent Time 780.3000000001089
received Time: 1294.3999999999182	 sent Time 780.3000000001089
received Time: 3148.8999999982316	 sent Time 780.3000000001089
received Time: 1205.599999999999	 sent Time 780.3000000001089
received Time: 2200.3999999990942	 sent Time 780.3000000001089
received Time: 1844.7999999994177	 sent Time 780.3000000001089
received Time: 1598.8999999996413	 sent Time 780.3000000001089
received Time: 1047.6000000001427	 sent Time 780.3000000001089
received Time: 1349.599999999868	 sent Time 780.3000000001089
received Time: 1803.9999999994548	 sent Time 780.3000000001089
received Time: 2387.799999998924	 sent Time 780.3000000001089
received Time: 2389.799999998922	 sent Time 780.3000000001089
received Time: 2699.69999999864	 sent Time 780.3000000001089
received Time: 1789.9999999994675	 sent Time 780.3000000001089
received Time: 2388.499999998923	 sent Time 780.3000000001089
received Time: 3305.499999998089	 sent Time 780.3000000001089
received Time: 781.100000000109	 sent Time 780.3000000001089
received Time: 1416.8999999998068	 sent Time 780.3000000001089
received Time: 784.7000000001099	 sent Time 780.3000000001089
received Time: 970.000000000152	 sent Time 780.3000000001089
received Time: 1842.19999999942	 sent Time 780.3000000001089
received Time: 1072.60000000012	 sent Time 780.3000000001089
received Time: 1897.4999999993697	 sent Time 780.3000000001089
received Time: 1228.1999999999784	 sent Time 780.3000000001089
received Time: 2248.5999999990504	 sent Time 780.3000000001089
received Time: 1374.3999999998455	 sent Time 780.3000000001089
received Time: 2249.09999999905	 sent Time 780.3000000001089
received Time: 1373.899999999846	 sent Time 780.3000000001089
received Time: 1294.2999999999183	 sent Time 780.3000000001089
received Time: 1790.499999999467	 sent Time 780.3000000001089
received Time: 1267.8999999999423	 sent Time 780.3000000001089
received Time: 2388.699999998923	 sent Time 780.3000000001089
received Time: 1047.7000000001426	 sent Time 780.3000000001089
received Time: 1374.2999999998456	 sent Time 780.3000000001089
received Time: 780.700000000109	 sent Time 780.3000000001089
received Time: 1897.19999999937	 sent Time 780.3000000001089
received Time: 1373.699999999846	 sent Time 780.3000000001089
received Time: 798.9000000001131	 sent Time 780.3000000001089
received Time: 1064.7000000001271	 sent Time 780.3000000001089
received Time: 1841.2999999994208	 sent Time 780.3000000001089
received Time: 780.900000000109	 sent Time 780.3000000001089
received Time: 783.2000000001095	 sent Time 780.3000000001089
received Time: 1294.0999999999185	 sent Time 780.3000000001089
received Time: 1790.3999999994671	 sent Time 780.3000000001089
received Time: 1790.9999999994666	 sent Time 780.3000000001089
received Time: 1886.4999999993797	 sent Time 780.3000000001089
received Time: 825.8000000001192	 sent Time 780.3000000001089
received Time: 1842.09999999942	 sent Time 780.3000000001089
received Time: 1844.299999999418	 sent Time 1320.7999999998942
received Time: 1325.0999999998903	 sent Time 1320.7999999998942
received Time: 3149.299999998231	 sent Time 1320.7999999998942
received Time: 3150.49999999823	 sent Time 1320.7999999998942
received Time: 1343.7999999998733	 sent Time 1320.7999999998942
received Time: 3425.7999999979797	 sent Time 1320.7999999998942
received Time: 1886.6999999993795	 sent Time 1320.7999999998942
received Time: 2803.7999999985454	 sent Time 1320.7999999998942
received Time: 1321.5999999998935	 sent Time 1320.7999999998942
received Time: 2248.2999999990507	 sent Time 1320.7999999998942
received Time: 2987.4999999983784	 sent Time 1320.7999999998942
received Time: 1321.1999999998939	 sent Time 1320.7999999998942
received Time: 2671.6999999986656	 sent Time 1320.7999999998942
received Time: 1334.0999999998821	 sent Time 1320.7999999998942
received Time: 1438.799999999787	 sent Time 1320.7999999998942
received Time: 1339.3999999998773	 sent Time 1320.7999999998942
received Time: 1435.6999999997897	 sent Time 1320.7999999998942
received Time: 3150.1999999982304	 sent Time 1320.7999999998942
received Time: 3703.899999997727	 sent Time 1320.7999999998942
received Time: 1887.7999999993785	 sent Time 1320.7999999998942
received Time: 2672.499999998665	 sent Time 1320.7999999998942
received Time: 1344.9999999998722	 sent Time 1320.7999999998942
received Time: 1790.599999999467	 sent Time 1320.7999999998942
received Time: 2306.7999999989975	 sent Time 1320.7999999998942
received Time: 2803.8999999985454	 sent Time 1320.7999999998942
received Time: 1367.3999999998518	 sent Time 1320.7999999998942
received Time: 2307.8999999989965	 sent Time 1320.7999999998942
received Time: 1789.7999999994677	 sent Time 1320.7999999998942
received Time: 1341.0999999998758	 sent Time 1320.7999999998942
received Time: 2137.5999999991514	 sent Time 1320.7999999998942
received Time: 1841.6999999994205	 sent Time 1320.7999999998942
received Time: 1636.8999999996067	 sent Time 1320.7999999998942
received Time: 1897.29999999937	 sent Time 1320.7999999998942
received Time: 3148.9999999982315	 sent Time 1320.7999999998942
received Time: 1841.5999999994206	 sent Time 1320.7999999998942
received Time: 1919.7999999993494	 sent Time 1320.7999999998942
received Time: 1841.3999999994207	 sent Time 1320.7999999998942
received Time: 1375.1999999998447	 sent Time 1320.7999999998942
received Time: 1332.3999999998837	 sent Time 1320.7999999998942
received Time: 1381.1999999998393	 sent Time 1320.7999999998942
received Time: 1336.39999999988	 sent Time 1320.7999999998942
received Time: 2308.8999999989956	 sent Time 1320.7999999998942
received Time: 2672.299999998665	 sent Time 1320.7999999998942
received Time: 2782.199999998565	 sent Time 1320.7999999998942
received Time: 1469.1999999997593	 sent Time 1320.7999999998942
received Time: 1803.799999999455	 sent Time 1320.7999999998942
received Time: 2805.199999998544	 sent Time 1320.7999999998942
received Time: 1671.1999999995755	 sent Time 1320.7999999998942
received Time: 3324.299999998072	 sent Time 1320.7999999998942
received Time: 1886.5999999993796	 sent Time 1320.7999999998942
received Time: 1335.5999999998808	 sent Time 1320.7999999998942
received Time: 1844.6999999994177	 sent Time 1320.7999999998942
received Time: 1886.8999999993794	 sent Time 1320.7999999998942
received Time: 1321.3999999998937	 sent Time 1320.7999999998942
received Time: 2529.199999998795	 sent Time 1320.7999999998942
received Time: 1803.699999999455	 sent Time 1320.7999999998942
received Time: 1803.3999999994553	 sent Time 1320.7999999998942
received Time: 2201.2999999990934	 sent Time 1320.7999999998942
received Time: 2556.4999999987704	 sent Time 1320.7999999998942
received Time: 1469.0999999997593	 sent Time 1320.7999999998942
received Time: 4345.899999998279	 sent Time 1320.7999999998942
received Time: 1841.7999999994204	 sent Time 1320.7999999998942
received Time: 2387.499999998924	 sent Time 1741.4999999995116
received Time: 1755.8999999994985	 sent Time 1741.4999999995116
received Time: 2671.4999999986658	 sent Time 1741.4999999995116
received Time: 2780.8999999985663	 sent Time 1741.4999999995116
received Time: 1897.6999999993695	 sent Time 1741.4999999995116
received Time: 1883.0999999993828	 sent Time 1741.4999999995116
received Time: 2672.6999999986647	 sent Time 1741.4999999995116
received Time: 1898.6999999993686	 sent Time 1741.4999999995116
received Time: 3305.699999998089	 sent Time 1741.4999999995116
received Time: 1803.4999999994552	 sent Time 1741.4999999995116
received Time: 2987.899999998378	 sent Time 1741.4999999995116
received Time: 1871.6999999993932	 sent Time 1741.4999999995116
received Time: 2671.5999999986657	 sent Time 1741.4999999995116
received Time: 2557.5999999987694	 sent Time 1741.4999999995116
received Time: 1887.4999999993788	 sent Time 1741.4999999995116
received Time: 1897.9999999993693	 sent Time 1741.4999999995116
received Time: 3150.8999999982298	 sent Time 1741.4999999995116
received Time: 1842.3999999994198	 sent Time 1741.4999999995116
received Time: 2805.6999999985437	 sent Time 1741.4999999995116
received Time: 3367.399999998033	 sent Time 1741.4999999995116
received Time: 1888.7999999993776	 sent Time 1741.4999999995116
received Time: 3704.599999997726	 sent Time 1741.4999999995116
received Time: 2558.6999999987684	 sent Time 1741.4999999995116
received Time: 1917.099999999352	 sent Time 1741.4999999995116
received Time: 2307.6999999989966	 sent Time 1741.4999999995116
received Time: 4160.299999997604	 sent Time 1741.4999999995116
received Time: 4161.499999997608	 sent Time 1741.4999999995116
received Time: 2389.1999999989225	 sent Time 1741.4999999995116
received Time: 2805.499999998544	 sent Time 1741.4999999995116
received Time: 1919.5999999993496	 sent Time 1741.4999999995116
received Time: 2305.6999999989985	 sent Time 1741.4999999995116
received Time: 3306.699999998088	 sent Time 1741.4999999995116
received Time: 2558.3999999987686	 sent Time 1741.4999999995116
received Time: 1789.8999999994676	 sent Time 1741.4999999995116
received Time: 2558.2999999987687	 sent Time 1741.4999999995116
received Time: 2137.4999999991514	 sent Time 1741.4999999995116
received Time: 2248.1999999990508	 sent Time 1741.4999999995116
received Time: 3704.3999999977264	 sent Time 1741.4999999995116
received Time: 1897.5999999993696	 sent Time 1741.4999999995116
received Time: 3150.0999999982305	 sent Time 1741.4999999995116
received Time: 1843.399999999419	 sent Time 1741.4999999995116
received Time: 1826.799999999434	 sent Time 1741.4999999995116
received Time: 1819.199999999441	 sent Time 1741.4999999995116
received Time: 1773.8999999994821	 sent Time 1741.4999999995116
received Time: 1741.6999999995114	 sent Time 1741.4999999995116
received Time: 1762.7999999994922	 sent Time 1741.4999999995116
received Time: 1762.5999999994924	 sent Time 1741.4999999995116
received Time: 2987.5999999983783	 sent Time 1741.4999999995116
received Time: 3361.3999999980383	 sent Time 1741.4999999995116
received Time: 2803.4999999985457	 sent Time 1741.4999999995116
received Time: 1842.6999999994196	 sent Time 1741.4999999995116
received Time: 3784.6999999976533	 sent Time 1741.4999999995116
received Time: 2699.1999999986406	 sent Time 1741.4999999995116
received Time: 1897.09999999937	 sent Time 1741.4999999995116
received Time: 1778.399999999478	 sent Time 1741.4999999995116
received Time: 1756.2999999994981	 sent Time 1741.4999999995116
received Time: 2781.4999999985657	 sent Time 1741.4999999995116
received Time: 1898.299999999369	 sent Time 1741.4999999995116
received Time: 1756.399999999498	 sent Time 1741.4999999995116
received Time: 2556.2999999987705	 sent Time 1741.4999999995116
received Time: 1844.5999999994178	 sent Time 1741.4999999995116
received Time: 2781.199999998566	 sent Time 1741.4999999995116
received Time: 2558.099999998769	 sent Time 1741.4999999995116
